 ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New Zealand,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4,13.7,15.0,14.8,13.9,13.3,..,..,..,..
Norway,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.2,14.5,14.8,16.5,15.6,14.8,14.7,15.3,15.4,..,..,..,..
OECD members,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,19.6,24.2,27.5,28.2,28.3,28.3,28.5,29.5,30.8,32.2,33.2,33.4,32.9,31.4,29.6,28.0,26.5,25.4,25.1,25.3,26.9,..,..,..,..
Portugal,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,33.1,31.8,29.4,28.2,27.5,27.0,25.9,25.0,24.9,24.6,24.3,23.4,22.3,20.2,18.1,16.7,16.4,16.5,16.5,17.4,..,..,..,..
Slovak Republic,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,0.0,0.1,0.2,0.8,1.0,0.8,1.2,2.2,4.4,7.3,10.7,13.4,16.5,16.9,18.2,17.6,17.0,16.0,13.6,13.3,12.9,..,..,..,..
Slovenia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,98.3,97.5,95.3,94.8,..,6.9,8.0,9.2,10.5,11.5,12.0,13.4,13.9,13.6,14.3,13.4,13.1,13.7,15.0,15.5,..,..,..,..
Spain,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,12.3,13.2,13.6,13.6,13.6,13.3,13.4,13.8,14.1,11.7,14.8,14.7,15.2,16.3,17.2,17.8,18.8,20.5,21.9,..,..,..,..
Sweden,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,6.1,6.3,6.4,6.7,7.3,7.3,7.5,7.8,8.0,8.6,9.0,8.7,8.8,8.8,8.9,9.0,9.2,9.2,9.6,9.7,..,..,..,..
Switzerland,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,18.6,19.6,19.9,20.6,21.7,21.3,19.4,18.6,18.5,17.4,17.5,17.4,17.0,18.1,18.0,16.9,16.7,14.9,14.9,16.1,..,..,..,..
Turkiye,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,3.2,3.3,3.3,3.9,4.4,4.8,5.1,5.5,5.7,5.2,5.2,5.4,5.9,6.6,7.4,8.3,7.9,7.9,..,..,..,..
United Kingdom,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,..,..,..,..
United States,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,29.1,26.3,26.0,23.2,23.2,23.9,..,25.5,25.8,26.1,26.9,27.5,27.9,28.0,27.8,27.5,27.3,26.9,26.4,26.3,..,..,..,..
Latvia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,99.2,98.8,98.0,96.5,96.1,95.8,95.1,94.6,93.8,93.3,92.7,92.5,92.3,92.2,92.2,92.1,91.7,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
