 ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New Zealand,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,11.7,12.1,11.3,9.6,9.4,8.9,10.7,9.4,6.0,5.9,6.0,5.9,6.6,5.8,..,7.3,7.7,9.7,12.7,12.1,..,..,..,..,..
OECD members,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Poland,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,15.3,21.8,7.5,3.8,3.3,10.8,12.4,12.2,14.5,15.0,12.7,13.1,19.4,21.8,19.9,..,15.4,16.7,8.4,9.1,..,..,..,..,..
Portugal,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,15.6,14.9,14.3,13.0,11.5,5.1,6.3,9.6,10.5,8.9,7.5,5.2,8.5,7.9,..,6.2,6.2,7.8,..,5.2,..,..,..,..,..
Slovak Republic,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,9.3,10.2,9.7,9.9,10.1,8.6,8.0,9.4,6.7,8.6,9.3,21.5,19.4,18.8,17.0,17.0,35.3,7.1,7.1,..,..,..,..,..
Slovenia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,8.6,9.2,13.6,11.0,12.1,13.5,12.2,10.3,9.9,11.1,16.6,14.9,10.4,7.4,7.5,..,..,..,..,..
Spain,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,22.0,21.6,20.0,19.5,20.2,19.0,16.8,18.1,19.6,20.6,18.8,18.4,18.4,15.7,13.1,12.3,12.9,11.2,12.3,..,..,..,..,..
Sweden,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,4.2,4.0,3.9,3.6,3.5,3.2,3.3,3.4,3.4,3.5,3.6,3.7,3.7,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,12.0,16.8,11.6,11.5,10.7,10.4,9.3,8.8,8.7,5.9,8.9,9.1,9.9,11.4,11.1,9.3,11.1,9.9,10.3,..,..,..,..,..,..
Turkiye,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,20.3,21.5,20.2,22.0,17.1,17.7,..,21.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.4,10.9,9.9,4.7,9.7,..,..,..,..,..
Latvia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,9.1,20.8,0.0,0.0,5.6,4.2,..,10.8,8.9,6.2,3.8,10.2,17.7,20.2,18.6,25.7,33.4,3.8,5.7,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
