 ,1980,1981,1982,1983,1984,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Iceland,4176.0,4383.0,4627.0,5053.0,5212.0,,4643.0,4724.0,4745.0,4725.0,5005.0,5407.0,5225.0,6161.0,5672.0,7059.0,7385.0,7483.0,7908.0,8100.0,8462.0,9667.0,10184.0,11584.0,13347.0,14710.0,15169.0,15721.0,15821.0,16631.0,16919.0,18051.0,18845.0,19099.0,19097.0,19901.0,18940.0,18590.0,17967.0,17835.0,..,..,..,..
Ireland,49313.0,54746.0,59824.0,64116.0,64561.0,,67378.0,70301.0,73450.0,76936.0,81133.0,85138.0,90296.0,101108.0,108394.0,117641.0,121401.0,128284.0,134566.0,142774.0,151137.0,160611.0,166600.0,176296.0,181557.0,188315.0,186561.0,186044.0,190349.0,178518.0,182609.0,194009.0,196321.0,192647.0,199428.0,203912.0,214632.0,218411.0,225031.0,231201.0,..,..,..,..
Israel,97624.0,97097.0,107583.0,110309.0,112901.0,,..,116062.0,118608.0,115657.0,117454.0,122568.0,134885.0,..,162219.0,..,182836.0,198766.0,..,233991.0,246806.0,255891.0,270979.0,299716.0,301326.0,301227.0,310937.0,310014.0,327108.0,325246.0,342707.0,360378.0,365665.0,379182.0,373581.0,376952.0,374048.0,377860.0,377210.0,374305.0,..,..,..,..
Italy,1097954.0,1117742.0,..,1090775.0,1120342.0,,1181953.0,1185304.0,1153224.0,1227809.0,1296298.0,1358254.0,1452286.0,1533202.0,1615150.0,1770253.0,1791726.0,1775186.0,1892542.0,1869101.0,1797241.0,1770002.0,1812325.0,1854200.0,1913352.0,1986497.0,2014998.0,2029023.0,2033642.0,2013856.0,2011713.0,1980399.0,1967569.0,1925930.0,1872693.0,1854360.0,1826477.0,1815950.0,1837051.0,1895990.0,..,..,..,..
Japan,2422915.0,2412117.0,2402725.0,2391915.0,2409983.0,,2403371.0,2347463.0,2409687.0,2510169.0,2588470.0,2683035.0,2781000.0,2899143.0,..,3841134.0,3917709.0,..,..,3963658.0,3940756.0,3982069.0,3972468.0,3966667.0,3984400.0,4031604.0,4038302.0,4084861.0,4032625.0,3938632.0,3874224.0,3836314.0,3880544.0,3884638.0,3862749.0,3862460.0,3845395.0,3846927.0,3853034.0,3861847.0,..,..,..,..
"Korea, Rep.",538726.0,647505.0,829915.0,1028933.0,1204117.0,,1345114.0,1455759.0,1514784.0,1548772.0,1573369.0,1630374.0,1691429.0,1761775.0,1911765.0,1950306.0,2065579.0,2225092.0,2792410.0,2636388.0,2837880.0,3003498.0,3129899.0,3210142.0,3223431.0,3224875.0,3210184.0,3204036.0,3208591.0,3204310.0,3219216.0,3269509.0,3356011.0,3356630.0,3342264.0,3318307.0,3268099.0,3204348.0,3136395.0,3083800.0,..,..,..,..
Lithuania,..,70995.0,..,..,..,,..,93235.0,..,..,91456.0,92688.0,88668.0,78848.0,72148.0,70460.0,70863.0,75559.0,83645.0,96371.0,107419.0,121904.0,135923.0,148788.0,167606.0,182656.0,195405.0,198868.0,199855.0,204767.0,210744.0,201373.0,187117.0,175066.0,159695.0,148389.0,140629.0,133759.0,125863.0,118287.0,..,..,..,..
Luxembourg,414.0,748.0,699.0,941.0,982.0,,843.0,759.0,709.0,..,..,..,1298.0,1390.0,1274.0,1800.0,1856.0,2003.0,2110.0,2233.0,2499.0,2437.0,2533.0,2965.0,3077.0,..,..,2692.0,..,3011.0,..,5376.0,..,6085.0,..,..,6896.0,6954.0,7058.0,7043.0,..,..,..,..
Mexico,853384.0,929865.0,998397.0,1043770.0,1105469.0,,..,1207779.0,1222046.0,1311252.0,1309943.0,1314027.0,1310835.0,..,1302590.0,1358271.0,1420461.0,1532846.0,1612318.0,1727484.0,1837884.0,1962763.0,2047895.0,2147075.0,2236791.0,2322781.0,2384858.0,2446726.0,2528664.0,2623367.0,2705190.0,2847376.0,2981313.0,3161195.0,3300348.0,3419391.0,3515404.0,4244401.0,4430248.0,4561792.0,..,..,..,..
Netherlands,350778.0,360033.0,371515.0,379047.0,384407.0,,390244.0,404866.0,399776.0,413488.0,415847.0,437488.0,478869.0,493563.0,506580.0,532405.0,502928.0,491748.0,468970.0,461374.0,469885.0,487649.0,504042.0,516769.0,526767.0,543396.0,564983.0,579622.0,590121.0,602286.0,618502.0,650905.0,780014.0,793678.0,..,..,842601.0,836946.0,875455.0,889506.0,..,..,..,..
