 ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lithuania,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,4.8,4.8,5.4,6.1,..,..,5.8,5.8,5.1,5.2,4.9,4.8,4.6,4.8,5.6,5.3,5.1,4.8,4.6,4.5,4.2,4.0,3.8,..,..,..,..,..
Luxembourg,4.4,4.5,5.1,3.2,..,..,3.7,3.9,3.9,3.7,,..,..,..,..,..,3.5,3.3,..,..,..,..,3.6,..,..,..,..,..,..,..,..,..,..,4.1,..,4.0,3.9,..,3.6,..,..,..,..,..
Mexico,..,..,..,..,..,..,..,..,..,2.3,,2.3,2.5,3.0,..,3.6,3.7,..,..,3.4,3.5,4.0,4.2,4.5,5.1,4.7,4.8,4.7,4.7,4.8,5.2,5.2,5.1,5.1,4.7,5.3,5.2,4.9,4.5,..,..,..,..,..
Netherlands,5.9,5.7,5.7,5.5,5.1,5.5,5.6,5.9,5.5,..,,5.2,5.2,..,4.8,4.7,4.6,4.5,..,4.5,4.5,4.6,4.7,4.8,5.0,5.1,5.1,5.0,4.9,5.0,5.4,5.5,5.5,5.4,5.5,5.5,5.3,5.5,5.2,..,..,..,..,..
New Zealand,4.2,4.4,4.5,..,4.0,3.5,3.4,3.9,4.4,4.8,,..,..,..,..,5.9,5.7,6.4,6.2,..,6.6,..,6.6,6.4,6.4,6.5,6.3,6.0,5.9,5.5,6.3,7.0,6.9,7.2,6.7,6.3,6.3,6.4,6.3,..,..,..,..,..
Norway,5.8,5.5,5.7,5.6,5.4,5.3,5.5,5.8,5.9,6.3,,6.3,6.4,6.6,7.7,7.8,7.7,7.1,7.3,7.4,7.0,6.5,6.8,7.4,7.4,7.3,6.9,6.4,6.5,6.3,7.1,6.7,6.5,7.4,7.5,7.7,7.6,8.0,7.9,..,..,..,..,..
OECD members,5.1,5.1,5.2,4.9,..,..,4.8,4.8,4.6,4.7,,4.6,4.8,4.9,5.1,4.9,4.8,5.1,..,4.5,4.6,4.9,5.0,5.2,5.3,5.0,5.1,5.0,4.8,5.0,5.5,5.5,5.2,5.2,5.3,5.2,..,..,..,..,..,..,..,..
Poland,..,..,..,..,..,..,..,..,..,..,,..,3.9,4.2,4.2,..,4.3,6.3,..,5.0,4.6,5.0,5.3,5.4,5.3,5.4,5.4,5.2,4.9,5.0,5.0,5.1,4.8,4.8,4.9,4.9,4.8,4.6,4.6,..,..,..,..,..
Portugal,3.1,3.2,3.3,3.2,3.1,3.3,3.0,3.2,3.4,3.5,,3.6,4.1,4.3,4.8,4.7,4.6,5.1,..,..,5.0,5.2,5.3,5.3,5.3,5.0,5.1,4.9,4.9,4.7,5.6,5.4,5.1,4.9,5.3,5.1,4.9,..,5.0,..,..,..,..,..
Slovak Republic,..,..,..,..,..,..,..,..,..,..,,..,..,5.4,4.4,3.7,4.3,4.1,4.1,..,4.1,3.9,3.9,4.2,4.2,4.1,3.8,3.7,3.5,3.5,4.0,4.1,3.9,3.9,4.1,4.2,4.6,3.9,3.9,..,..,..,..,..
Slovenia,..,..,..,..,..,..,..,..,..,..,,..,4.4,5.1,5.4,5.1,4.9,..,..,..,..,..,5.8,5.7,5.7,5.6,5.6,5.6,5.1,5.1,5.6,5.5,5.5,5.6,5.4,5.3,4.9,4.8,4.8,..,..,..,..,..
Spain,..,..,..,..,..,..,..,3.1,3.3,3.6,,3.6,3.7,3.8,4.2,4.5,4.4,4.5,..,4.3,4.3,4.2,4.1,4.1,4.2,4.2,4.1,4.2,4.3,4.5,4.9,4.9,4.9,4.5,4.4,4.3,4.3,4.2,4.2,..,..,..,..,..
Sweden,6.5,6.8,..,..,..,..,..,..,..,..,,5.2,5.4,5.3,5.5,..,6.1,6.8,..,7.1,6.8,6.7,6.6,6.9,6.8,6.7,6.5,6.4,6.2,6.3,6.7,6.5,6.4,7.5,7.6,7.6,7.4,7.6,7.6,..,..,..,..,..
Switzerland,4.4,4.3,4.4,4.5,4.4,4.3,4.3,4.3,4.4,4.3,,4.5,4.7,..,5.1,5.1,5.1,5.1,..,4.9,4.9,4.8,5.0,5.3,5.5,5.4,5.2,5.0,4.7,4.9,5.0,4.9,5.0,5.0,5.0,5.1,5.1,5.1,5.1,..,..,..,..,..
Turkiye,..,2.2,1.8,2.6,2.0,1.7,1.5,..,..,..,,..,..,..,3.4,3.4,2.3,..,..,0.0,2.9,2.5,2.7,2.7,2.9,3.0,..,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,5.1,5.3,5.2,5.1,4.9,4.6,4.4,4.4,4.3,4.1,,4.1,4.1,4.3,..,4.9,4.8,4.4,..,4.2,4.0,4.0,4.1,4.6,4.8,4.7,4.9,5.0,4.9,4.9,5.1,5.7,5.6,..,5.5,5.6,5.6,5.4,5.4,..,..,..,..,..
United States,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.9,5.0,..,..,..,..,..,..,..,..
Latvia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,5.3,5.5,5.8,5.6,5.3,5.5,5.6,5.1,4.9,..,4.7,4.7,5.4,5.6,5.1,4.9,6.6,7.0,5.3,5.3,4.7,4.4,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
