 ,1980,1981,1982,1983,1984,1985,,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Iceland,14844.1,15160.0,13732.3,11689.4,11977.5,12379.8,,16430.7,22486.9,24488.7,22468.1,25423.1,26843.3,27165.0,23615.2,24054.7,26673.6,27659.9,27960.9,30995.0,32344.0,32018.1,28794.0,32326.6,39423.9,47367.3,56658.6,56673.6,69054.3,56409.8,41333.4,43024.9,47516.9,45910.0,49522.2,54242.1,52428.6,61757.9,71314.8,73191.1,..,..,..,..
Ireland,6380.1,5993.3,6168.0,5922.3,5698.8,6018.9,,8121.9,9593.4,10728.7,11189.2,14048.1,14104.1,15733.2,14674.6,15922.0,19181.4,20860.6,22542.8,24263.2,26284.3,26241.4,28227.7,32541.1,41106.9,47631.0,50878.2,54306.4,61359.7,61262.1,52105.2,48715.2,51848.9,48917.9,51590.2,55493.0,61995.4,63197.1,69649.9,78806.4,..,..,..,..
Israel,6231.2,6465.9,6905.9,7574.2,7011.4,6497.7,,7931.5,9375.9,11278.6,11045.1,12663.4,13650.8,14758.3,14443.2,15992.3,18103.7,19324.6,19652.6,19416.0,19120.3,21043.6,20306.9,18435.9,18979.3,19896.8,20566.6,21837.4,24924.3,29567.8,27715.6,30693.6,33669.2,32511.2,36309.5,37678.9,35776.8,37321.6,40541.9,41715.0,..,..,..,..
Italy,8456.9,7622.8,7556.5,7832.6,7739.7,7990.7,,11315.0,14234.7,15744.7,16386.7,20825.8,21956.5,23243.5,18738.8,19337.6,20664.6,23081.6,21829.3,22318.1,21997.6,20087.6,20483.2,22270.1,27465.7,31259.7,32043.1,33501.7,37822.7,40778.3,37079.8,36000.5,38599.1,35053.5,35550.0,35518.4,30230.2,30936.1,32326.8,34483.2,..,..,..,..
Japan,9465.4,10361.3,9578.1,10425.4,10984.9,11584.6,,17111.9,20745.3,25051.9,24813.3,25359.3,28925.0,31464.5,35765.9,39268.6,43440.4,38436.9,35021.7,31902.8,36026.6,38532.0,33846.5,32289.4,34808.4,37688.7,37217.6,35434.0,35275.2,39339.3,40855.2,44507.7,48168.0,48603.5,40454.4,38109.4,34524.5,38794.3,38332.0,39290.0,..,..,..,..
"Korea, Rep.",1704.5,1870.3,1977.6,2180.5,2390.7,2457.3,,2803.4,3511.0,4686.1,5736.9,6516.3,7523.5,8001.5,8740.9,10205.8,12333.0,13137.9,12131.9,8085.3,10409.3,11947.6,11252.9,12782.5,14209.4,15907.7,18639.5,20888.4,23060.7,20430.6,18291.9,22087.0,24079.8,24358.8,25890.0,27811.4,27105.1,27608.2,29742.8,31362.8,..,..,..,..
Lithuania,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,2168.8,2328.2,2830.7,3166.9,3113.5,3297.4,3530.1,4147.0,5505.5,6707.0,7863.2,9240.6,12297.9,14961.6,11837.4,11953.9,14338.6,14333.9,15705.2,16534.5,14249.1,14999.5,16840.9,19153.4,..,..,..,..
Luxembourg,17113.8,14324.9,13034.8,12810.2,12554.4,12922.0,,18789.7,23234.6,26108.3,27556.4,34645.1,37007.4,40965.7,41479.1,45481.9,52831.3,52571.9,47042.3,47584.5,51654.4,48736.0,48179.4,52930.6,65445.9,75716.4,80289.7,89739.7,106018.5,114293.8,103198.7,104965.3,115761.5,106749.0,113625.1,118823.6,101376.5,104278.4,107361.3,116639.9,..,..,..,..
Mexico,3027.4,3803.0,2598.0,2147.7,2478.2,2569.2,,1733.9,1862.9,2248.0,2687.9,3112.3,3661.9,4170.6,5650.0,5854.4,3928.2,4412.1,5289.2,5481.2,6157.2,7157.8,7544.6,7593.1,7075.4,7484.5,8277.7,9068.3,9642.7,10016.6,8003.0,9271.4,10203.4,10241.7,10725.2,10922.4,9606.0,8739.8,9278.4,9673.4,..,..,..,..
Netherlands,13791.9,11520.4,11072.7,10680.4,9977.2,9926.1,,13783.9,16709.6,17744.5,17397.7,21290.9,21732.2,23904.0,23122.4,24646.3,29258.1,29006.8,26700.5,27885.8,28263.1,26149.4,26873.3,29204.0,35672.2,40362.4,41979.1,44863.4,51733.4,57644.5,52514.0,50950.0,54159.3,50073.0,52184.1,52830.2,45175.2,46007.9,48555.0,53024.1,..,..,..,..
New Zealand,7467.2,7813.9,7656.5,7598.3,6713.8,7600.6,,9427.6,12330.9,13759.2,13312.4,13663.0,12230.1,11793.1,13094.3,15280.3,17400.4,18794.4,17474.2,14738.4,15322.2,13641.1,13882.9,16874.2,21913.7,25420.2,27751.1,26671.3,32510.1,31287.9,28201.2,33692.0,38426.6,39970.4,42949.1,44533.8,38559.5,40026.9,42260.1,41945.3,..,..,..,..
Norway,15772.2,15512.5,15224.9,14927.5,14989.5,15753.6,,18883.3,22505.9,24207.3,24281.1,28242.9,28596.9,30524.0,27963.7,29315.8,34875.7,37322.0,36629.0,34788.4,36371.1,38131.5,38542.7,43084.5,50134.9,57603.8,66810.5,74148.3,85140.0,96944.1,79977.7,87693.8,100600.6,101524.1,102913.5,97019.2,74355.5,70460.6,75496.8,81697.2,..,..,..,..
OECD members,8873.6,8950.2,8744.5,8963.1,9304.5,9740.8,,11714.0,13448.4,15051.4,15636.1,17475.4,18315.6,19515.3,19630.4,20793.2,22607.5,22616.2,22119.9,22162.8,23122.0,23434.4,23058.5,23899.5,26602.4,29399.8,30840.3,32301.4,35075.2,36845.2,34255.9,35694.6,38055.0,37803.6,38028.5,..,..,..,..,..,..,..,..,..
Poland,..,..,..,..,..,..,,..,..,..,..,1731.2,2235.5,2459.0,2497.2,2874.8,3682.8,4141.0,4116.9,4510.4,4390.0,4492.7,4981.2,5196.9,5693.4,6681.2,8021.0,9038.7,11255.4,14001.4,11527.6,12599.5,13893.5,13145.5,13781.1,14347.9,12572.3,12431.6,13857.0,15420.9,..,..,..,..
Portugal,3368.4,3246.0,3079.9,2735.5,2522.7,2705.2,,3861.9,4803.9,5623.7,6056.4,7884.6,8959.0,10810.6,9534.7,9977.3,11781.4,12185.1,11575.5,12199.2,12471.1,11497.8,11724.6,12875.3,15763.0,18031.0,18773.1,19822.8,22782.1,24847.5,23059.8,22498.7,23186.9,20564.9,21647.0,22074.3,19242.4,19978.4,21437.3,23407.9,..,..,..,..
Slovak Republic,..,..,..,..,..,..,,..,..,..,..,2405.5,2691.2,2920.9,3102.3,3771.4,4819.1,5196.9,5146.7,5538.6,5643.7,5413.2,5717.2,6533.6,8712.7,10671.8,11685.8,13159.8,16085.6,18677.3,16531.7,16727.3,18338.4,17460.0,18237.0,18670.9,16309.1,16506.0,17510.1,19442.7,..,..,..,..
Slovenia,..,..,..,..,..,..,,..,..,..,..,9107.5,6633.7,6562.0,6656.9,7564.7,10730.5,10815.1,10455.0,11175.8,11452.8,10201.3,10479.8,11777.2,14849.0,17233.1,18098.9,19673.0,23787.6,27483.3,24694.2,23509.5,25095.1,22643.1,23496.6,24214.9,20881.8,21622.6,23442.7,26124.0,..,..,..,..
Spain,6208.6,5371.2,5159.7,4478.5,4490.0,4699.7,,6513.5,8239.6,9703.1,10682.0,13804.9,14811.9,16112.2,13339.9,13415.3,15472.0,16109.1,14730.8,15394.4,15715.3,14713.1,15355.7,17025.5,21463.4,24861.3,26419.3,28365.3,32550.0,35366.3,32042.5,30502.7,31636.4,28324.4,29059.5,29461.6,25732.0,26505.6,28100.9,30370.9,..,..,..,..
Sweden,16957.8,15458.8,13626.5,12505.0,12991.8,13555.0,,17833.8,21614.1,24333.8,25452.1,30343.2,31562.3,32532.4,24225.3,25883.0,30066.2,32774.1,30113.3,30382.7,30740.2,29456.1,27093.1,29729.7,37090.9,42544.4,43164.0,46277.6,53341.5,55903.9,46793.9,52817.4,60612.9,57874.3,60897.4,59843.5,51397.2,51974.2,53744.4,54608.4,..,..,..,..
Switzerland,18832.2,17153.4,17478.7,17342.0,16499.1,16655.3,,23751.4,29558.9,31743.7,30401.9,38428.4,38399.2,39534.5,38100.7,41843.8,48662.5,46676.8,40417.9,41497.2,40581.3,37868.3,38539.0,41376.4,48087.5,53340.2,54952.7,57579.5,63555.3,72487.8,69927.4,74605.8,88415.6,83538.2,85112.5,86605.5,82081.6,80172.2,80450.0,82796.5,..,..,..,..
Turkiye,1564.2,1579.1,1402.4,1310.3,1246.8,1368.4,,1510.7,1705.9,1745.4,2021.9,2794.4,2735.7,2842.4,3180.2,2270.3,2897.9,3053.9,3144.4,4496.5,4108.1,4316.5,3119.6,3659.9,4718.2,6040.6,7384.3,8035.4,9711.9,10854.2,9038.5,10672.4,11335.5,11707.3,12519.4,12095.9,10948.7,10820.6,10513.6,9370.2,..,..,..,..
United Kingdom,10032.1,9599.3,9146.1,8691.5,8179.2,8652.2,,10611.1,13118.6,15987.2,16239.3,19095.5,19900.7,20487.2,18389.0,19709.2,23123.2,24332.7,26734.6,28214.3,28669.5,28149.9,27744.5,30056.6,34419.1,40290.3,42030.3,44599.7,50566.8,47287.0,38713.1,39435.8,42038.5,42462.7,43444.6,47417.6,44966.1,41074.2,40361.4,42943.9,..,..,..,..
United States,12574.8,13976.1,14433.8,15543.9,17121.2,18236.8,,19071.2,20038.9,21417.0,22857.2,23888.6,24342.3,25419.0,26387.3,27694.9,28690.9,29967.7,31459.1,32853.7,34513.6,36334.9,37133.2,38023.2,39496.5,41712.8,44114.7,46298.7,47976.0,48382.6,47100.0,48466.8,49883.1,51603.5,53106.9,55033.0,56803.5,57904.2,59927.9,62794.6,..,..,..,..
Latvia,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,2322.1,2422.3,2675.2,2965.1,3145.0,3351.2,3566.2,4125.2,5127.6,6343.1,7552.9,9663.4,14042.5,16377.0,12257.2,11344.7,13713.9,13847.8,15043.1,15740.3,13698.9,14153.4,15548.1,17860.6,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
