Country,Year,Government Expenditure On Education (%)
AUS,2008,4.63278
AUS,2009,5.08452
AUS,2010,5.54304
AUS,2011,5.06995
AUS,2012,4.86788
AUS,2013,5.22924
AUS,2014,5.16469
AUS,2015,5.31584
AUS,2016,5.28623
AUS,2017,5.13681
AUS,2018,5.12345
AUS,2019,5.13531
AUS,2020,6.1
AUT,1937,2.5
AUT,1960,2.9
AUT,1970,4.14716
AUT,1971,4.28235
AUT,1972,4.45015
AUT,1973,4.51547
AUT,1974,4.65594
AUT,1975,5.12796
AUT,1976,5.23766
AUT,1977,4.95401
AUT,1978,5.15979
AUT,1979,5.03816
AUT,1980,5.00897
AUT,1981,5.36781
AUT,1982,5.36299
AUT,1983,5.30378
AUT,1984,5.29447
AUT,1985,5.29721
AUT,1986,5.49996
AUT,1987,5.37611
AUT,1988,5.19073
AUT,1989,5.01817
AUT,1990,4.95725
AUT,1991,5.10322
AUT,1992,5.29698
AUT,1993,5.252
AUT,1995,5.42835
AUT,1996,5.2599
AUT,1998,6.10374
AUT,1999,6.11234
AUT,2000,5.58881
AUT,2001,5.57548
AUT,2002,5.52213
AUT,2003,5.36183
AUT,2004,5.30243
AUT,2005,5.24937
AUT,2006,5.22652
AUT,2007,5.1469
AUT,2008,5.26396
AUT,2009,5.73025
AUT,2010,5.70048
AUT,2011,5.59227
AUT,2012,5.4804
AUT,2013,5.54711
AUT,2014,5.44762
AUT,2015,5.45658
AUT,2016,5.47962
AUT,2017,5.37159
AUT,2018,5.22452
AUT,2019,5.21291
AUT,2020,5.07
AZE,1992,6.05797
AZE,1995,3.33737
AZE,1996,3.51257
AZE,1998,3.38002
AZE,1999,4.21214
AZE,2000,3.85399
AZE,2001,3.50342
AZE,2002,3.15446
AZE,2003,3.28615
AZE,2004,3.4477
AZE,2005,2.97462
AZE,2006,2.55552
AZE,2007,2.54928
AZE,2008,2.44093
AZE,2009,3.22431
AZE,2010,2.78062
AZE,2011,2.43564
AZE,2012,2.06763
AZE,2013,2.44213
AZE,2014,2.63304
AZE,2015,2.95168
AZE,2016,2.90341
AZE,2017,2.47382
AZE,2018,2.45543
AZE,2019,2.68108
AZE,2020,4.33205
BHS,2000,2.23284
BHS,2005,2.29
BHS,2007,2.73
BHS,2008,2.89
BHS,2009,2.92
BHS,2010,2.78
BHS,2011,2.66
BHS,2012,2.61
BHS,2013,2.72
BHS,2014,2.5
BHS,2015,2.2499
BHS,2016,2.33118
BHS,2017,2.42277
BHS,2018,2.24967
BHS,2019,2.28842
BHS,2020,2.37134
BHS,2021,2.78222
BHR,2005,3.33
BHR,2006,2.87441
BHR,2007,2.575
BHR,2008,2.49678
BHR,2009,3.34
BHR,2010,3.19
BHR,2011,3.03
BHR,2012,2.64531
BHR,2013,2.47689
BHR,2014,2.46746
BHR,2015,2.67454
BHR,2016,2.87
BHR,2017,2.32452
BHR,2018,2.36661
BHR,2019,2.09491
BHR,2020,2.15205
BGD,1979,1.13093
BGD,1980,0.9376
BGD,1981,1.0715
BGD,1982,1.01164
BGD,1983,1.03267
BGD,1984,1.22303
BGD,1985,1.27118
BGD,1986,1.34349
BGD,1987,1.51364
BGD,1990,1.51912
BGD,1991,1.42566
BGD,1992,1.63177
BGD,1993,1.69262
BGD,1997,1.95247
BGD,1999,2.13282
BGD,2000,2.12508
BGD,2001,2.17193
BGD,2002,2.01715
BGD,2003,2.06939
BGD,2004,1.94014
BGD,2006,2.13129
BGD,2007,2.20222
BGD,2008,2.05457
BGD,2009,1.93942
BGD,2011,2.1327
BGD,2012,2.0466707
BGD,2013,1.96616
BGD,2014,2.0987167
BGD,2015,1.8722541
BGD,2016,2.2212
BGD,2017,2.2166195
BGD,2018,1.9479555
BGD,2019,1.9718466
BGD,2020,2.0492175
BGD,2021,2.119385
BRB,1976,5.9448
BRB,1977,6.51716
BRB,1991,6.6387
BRB,1999,4.34124
BRB,2000,4.71586
BRB,2001,6.05537
BRB,2002,5.88062
BRB,2003,6.2457
BRB,2004,6.02428
BRB,2005,5.66965
BRB,2007,5.22039
BRB,2008,4.9226
BRB,2009,5.11618
BRB,2010,6.0544
BRB,2012,5.26274
BRB,2013,5.14899
BRB,2014,6.1435
BRB,2015,5.38292
BRB,2016,4.70732
BRB,2017,4.36638
BRB,2018,5.42886
BRB,2019,3.20399
BRB,2020,3.05817
BRB,2021,6.45362
