Country,Year,Early Childhood Education Enrollment Rates,Higher Education Enrollment Rates
SVN,2020,89.492,97.131
SWE,2013,92.915,98.416
SWE,2014,93.17,98.201
SWE,2015,91.412,98.346
SWE,2017,92.756,100.0
SWE,2018,92.445,100.0
SWE,2019,93.386,97.867
SWE,2020,93.899,97.283
TUR,2013,7.343,73.536
TUR,2014,7.75,73.998
TUR,2015,9.106,74.297
TUR,2016,8.975,77.265
TUR,2017,10.119,79.707
TUR,2018,10.411,81.26
TUR,2019,10.691,81.783
TUR,2020,10.528,82.618
AUT,2013,71.35,88.599
AUT,2015,74.821,89.204
BEL,2018,98.488,98.585
CHE,2013,3.135,91.222
DEU,2013,92.221,93.94
DEU,2017,91.183,92.793
DEU,2019,90.447,92.495
ESP,2017,96.347,89.834
ESP,2019,96.125,90.112
EST,2015,86.862,94.468
EST,2017,87.075,93.803
EST,2019,87.273,93.194
FIN,2017,73.496,95.059
FIN,2019,80.423,96.703
FRA,2013,99.208,90.575
GBR,2016,100.0,94.254
HUN,2015,81.185,89.694
HUN,2019,87.175,87.525
ISR,2017,100.0,91.829
JPN,2013,81.441,95.552
JPN,2019,85.228,96.211
KOR,2015,92.349,96.312
KOR,2017,93.7,94.554
NLD,2016,86.313,97.223
NZL,2019,83.861,88.685
PRT,2015,87.306,98.66
PRT,2018,82.057,100.0
SVK,2013,62.582,89.959
SVK,2018,68.287,88.432
SVN,2016,83.836,96.222
SWE,2016,92.113,98.944
COL,2015,68.921,
CRI,2013,5.694,
CRI,2014,5.374,
CRI,2015,5.326,
CRI,2016,5.312,
CRI,2017,5.414,
CRI,2018,5.607,
CRI,2019,5.715,
GRC,2014,44.0,
JPN,2017,82.985,
BEL,2020,,98.438
HUN,2013,,93.028
PRT,2016,,95.515
GRC,2020,,90.727
BEL,2016,,96.971
PRT,2020,,100.0
IRL,2016,,99.321
CAN,2020,,77.163
HUN,2014,,91.605
USA,2016,,87.678
CAN,2016,,83.508
USA,2020,,92.421
BEL,2014,,97.374
CAN,2013,,80.07
CAN,2019,,77.564
BEL,2015,,96.959
CAN,2017,,82.563
GRC,2018,,93.432
PRT,2014,,96.919
USA,2013,,88.116
USA,2019,,91.266
IRL,2013,,97.518
USA,2017,,91.133
CAN,2015,,81.491
BEL,2013,,98.596
CAN,2014,,80.088
CAN,2018,,82.187
IRL,2014,,98.175
USA,2015,,90.508
IRL,2015,,99.089
PRT,2013,,94.369
USA,2014,,84.238
USA,2018,,89.779
