"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","1989",34.140335,
"AUS","EDUTRY","25_34","PC_AGE","A","1991",35.707539,
"AUS","EDUTRY","25_34","PC_AGE","A","1993",22.836517,
"AUS","EDUTRY","25_34","PC_AGE","A","1994",23.624947,
"AUS","EDUTRY","25_34","PC_AGE","A","1995",24.697142,
"AUS","EDUTRY","25_34","PC_AGE","A","1997",25.702168,
"AUS","EDUTRY","25_34","PC_AGE","A","1998",28.139578,
"AUS","EDUTRY","25_34","PC_AGE","A","1999",28.981586,
"AUS","EDUTRY","25_34","PC_AGE","A","2000",31.372517,
"AUS","EDUTRY","25_34","PC_AGE","A","2001",33.511932,
"AUS","EDUTRY","25_34","PC_AGE","A","2002",35.797337,
"AUS","EDUTRY","25_34","PC_AGE","A","2003",36.322815,
"AUS","EDUTRY","25_34","PC_AGE","A","2004",36.168247,
"AUS","EDUTRY","25_34","PC_AGE","A","2005",38.098312,
"AUS","EDUTRY","25_34","PC_AGE","A","2006",38.804123,
"AUS","EDUTRY","25_34","PC_AGE","A","2007",40.728859,
"AUS","EDUTRY","25_34","PC_AGE","A","2008",41.99683,
"AUS","EDUTRY","25_34","PC_AGE","A","2009",44.778488,
"AUS","EDUTRY","25_34","PC_AGE","A","2010",44.374836,
"AUS","EDUTRY","25_34","PC_AGE","A","2011",44.615528,
"AUS","EDUTRY","25_34","PC_AGE","A","2012",47.231079,
"AUS","EDUTRY","25_34","PC_AGE","A","2013",45.745182,
"AUS","EDUTRY","25_34","PC_AGE","A","2014",48.13139,
"AUS","EDUTRY","25_34","PC_AGE","A","2015",48.466274,
"AUS","EDUTRY","25_34","PC_AGE","A","2016",49.30521,
"AUS","EDUTRY","25_34","PC_AGE","A","2017",51.989063,
"AUS","EDUTRY","25_34","PC_AGE","A","2018",51.393173,
"AUS","EDUTRY","25_34","PC_AGE","A","2019",52.478458,
"AUS","EDUTRY","25_34","PC_AGE","A","2020",54.614105,
"AUS","EDUTRY","25_34","PC_AGE","A","2021",54.307404,
"AUS","EDUTRY","25_34","PC_AGE","A","2022",55.932438,
"AUT","EDUTRY","25_34","PC_AGE","A","2004",30.473413,
"AUT","EDUTRY","25_34","PC_AGE","A","2005",30.570971,
"AUT","EDUTRY","25_34","PC_AGE","A","2006",31.518833,
"AUT","EDUTRY","25_34","PC_AGE","A","2007",31.065872,
"AUT","EDUTRY","25_34","PC_AGE","A","2008",32.680725,
"AUT","EDUTRY","25_34","PC_AGE","A","2009",33.408676,
"AUT","EDUTRY","25_34","PC_AGE","A","2010",33.863789,
"AUT","EDUTRY","25_34","PC_AGE","A","2011",34.808361,
"AUT","EDUTRY","25_34","PC_AGE","A","2012",36.127834,
"AUT","EDUTRY","25_34","PC_AGE","A","2013",38.666092,
"AUT","EDUTRY","25_34","PC_AGE","A","2014",38.403149,
"AUT","EDUTRY","25_34","PC_AGE","A","2015",38.626846,
"AUT","EDUTRY","25_34","PC_AGE","A","2016",39.671021,
"AUT","EDUTRY","25_34","PC_AGE","A","2017",40.324657,
"AUT","EDUTRY","25_34","PC_AGE","A","2018",40.458271,
"AUT","EDUTRY","25_34","PC_AGE","A","2019",41.610401,
"AUT","EDUTRY","25_34","PC_AGE","A","2020",41.419125,
"AUT","EDUTRY","25_34","PC_AGE","A","2021",42.444088,
"AUT","EDUTRY","25_34","PC_AGE","A","2022",43.081669,
"BEL","EDUTRY","25_34","PC_AGE","A","1989",23.200729,
"BEL","EDUTRY","25_34","PC_AGE","A","1991",26.816282,
"BEL","EDUTRY","25_34","PC_AGE","A","1992",27.192472,
"BEL","EDUTRY","25_34","PC_AGE","A","1994",30.033016,
"BEL","EDUTRY","25_34","PC_AGE","A","1995",32.941891,
"BEL","EDUTRY","25_34","PC_AGE","A","2000",36.020634,
"BEL","EDUTRY","25_34","PC_AGE","A","2001",37.506115,
"BEL","EDUTRY","25_34","PC_AGE","A","2002",37.643967,
"BEL","EDUTRY","25_34","PC_AGE","A","2003",38.910217,
"BEL","EDUTRY","25_34","PC_AGE","A","2004",40.730312,
"BEL","EDUTRY","25_34","PC_AGE","A","2005",40.605904,
"BEL","EDUTRY","25_34","PC_AGE","A","2006",41.863441,
"BEL","EDUTRY","25_34","PC_AGE","A","2007",41.339031,
"BEL","EDUTRY","25_34","PC_AGE","A","2008",42.271435,
"BEL","EDUTRY","25_34","PC_AGE","A","2009",42.484257,
"BEL","EDUTRY","25_34","PC_AGE","A","2010",43.801159,
"BEL","EDUTRY","25_34","PC_AGE","A","2011",42.455688,
"BEL","EDUTRY","25_34","PC_AGE","A","2012",42.989902,
"BEL","EDUTRY","25_34","PC_AGE","A","2013",42.663147,
"BEL","EDUTRY","25_34","PC_AGE","A","2014",44.239079,
"BEL","EDUTRY","25_34","PC_AGE","A","2015",43.144318,
"BEL","EDUTRY","25_34","PC_AGE","A","2016",44.311111,
"BEL","EDUTRY","25_34","PC_AGE","A","2017",45.725086,
"BEL","EDUTRY","25_34","PC_AGE","A","2018",47.397144,
"BEL","EDUTRY","25_34","PC_AGE","A","2019",47.282982,
"BEL","EDUTRY","25_34","PC_AGE","A","2020",48.508053,
"BEL","EDUTRY","25_34","PC_AGE","A","2021",50.869141,
"BEL","EDUTRY","25_34","PC_AGE","A","2022",51.361351,
"CAN","EDUTRY","25_34","PC_AGE","A","1981",30.579226,
