Country,Year,Government Spending Teritary (% GDP)
LTU,1982,..
LUX,1982,0.1
MEX,1982,..
NLD,1982,1.7
NZL,1982,1.3
NOR,1982,0.8
POL,1982,..
PRT,1982,0.4
SVK,1982,..
SVN,1982,..
ESP,1982,..
SWE,1982,..
CHE,1982,0.9
TUR,1982,0.5
GBR,1982,1.2
USA,1982,..
LVA,1982,..
,1982,
AUS,1983,1.7
AUT,1983,0.8
BEL,1983,..
CAN,1983,2.1
CHL,1983,..
COL,1983,..
CRI,1983,1.5
CZE,1983,..
DNK,1983,..
EST,1983,..
FIN,1983,1.0
FRA,1983,0.6
DEU,1983,..
GRC,1983,0.3
HUN,1983,..
ISL,1983,..
IRL,1983,1.0
ISR,1983,1.7
ITA,1983,0.5
JPN,1983,0.5
KOR,1983,0.5
LTU,1983,..
LUX,1983,0.1
MEX,1983,..
NLD,1983,1.7
NZL,1983,..
NOR,1983,0.8
POL,1983,..
PRT,1983,0.4
SVK,1983,..
SVN,1983,..
ESP,1983,..
SWE,1983,..
CHE,1983,0.9
TUR,1983,0.7
GBR,1983,1.1
USA,1983,..
LVA,1983,..
,1983,
AUS,1984,..
AUT,1984,0.9
BEL,1984,..
CAN,1984,2.1
CHL,1984,..
COL,1984,0.6
CRI,1984,..
CZE,1984,..
DNK,1984,..
EST,1984,..
FIN,1984,1.0
FRA,1984,0.7
DEU,1984,..
GRC,1984,0.4
HUN,1984,..
ISL,1984,..
IRL,1984,0.9
ISR,1984,1.5
ITA,1984,0.6
JPN,1984,..
KOR,1984,0.5
LTU,1984,..
LUX,1984,..
MEX,1984,..
NLD,1984,1.5
NZL,1984,1.1
NOR,1984,0.8
POL,1984,..
PRT,1984,0.4
SVK,1984,..
SVN,1984,..
ESP,1984,..
SWE,1984,..
CHE,1984,0.9
TUR,1984,0.5
GBR,1984,1.1
USA,1984,..
LVA,1984,..
,1984,
AUS,1985,1.7
AUT,1985,0.9
BEL,1985,..
CAN,1985,1.9
CHL,1985,..
COL,1985,0.6
CRI,1985,..
CZE,1985,..
DNK,1985,..
EST,1985,..
FIN,1985,1.1
FRA,1985,0.7
DEU,1985,..
GRC,1985,..
HUN,1985,..
ISL,1985,..
IRL,1985,0.9
ISR,1985,1.6
ITA,1985,0.7
JPN,1985,..
KOR,1985,0.5
LTU,1985,..
LUX,1985,..
MEX,1985,..
NLD,1985,1.6
NZL,1985,1.0
NOR,1985,0.7
POL,1985,..
PRT,1985,0.5
